lead_id,account_id,email,first_touch_channel,first_touch_session_id,utm_source,utm_medium,campaign,landing_page,lead_score,lead_date,is_mql,converted_to_opp_date
LEAD-000024,ACC-00352,contato23@cavalcante.com.br,paid_search,SES-00049804,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,39,2023-01-09,0,
LEAD-000025,ACC-01354,contato24@meloefilhos.com.br,organic_search,SES-00089248,google,organic,,/lp/demo-gratis,25,2023-01-09,0,
LEAD-000026,ACC-00671,contato25@martinss/a.net.br,organic_search,SES-00044227,google,organic,,/lp/demo-gratis,35,2023-01-10,0,
LEAD-000027,ACC-00734,contato26@camargo.com.br,linkedin_ads,SES-00062674,linkedin,paid_social,linkedin_prospeccao_q1_2023,/lp/comparativo-erp,35,2023-01-10,0,
LEAD-000028,ACC-00482,contato27@barbosas.a..com.br,paid_search,SES-00018858,google,cpc,google_branded_2023,/lp/roi-calculator,44,2023-01-10,0,
LEAD-000029,ACC-01354,contato28@meloefilhos.com.br,organic_search,SES-00112793,google,organic,(none),/lp/demo-gratis,42,2023-01-10,0,
LEAD-000030,ACC-01988,contato29@cirino.net.br,linkedin_ads,SES-00079669,linkedin,paid_social,linkedin_decisores_ti_2023,/lp/comparativo-erp,17,2023-01-11,0,
LEAD-000031,ACC-00498,contato30@cunha-ei.com.br,direct,SES-00046685,(direct),(none),,/lp/comparativo-erp,42,2023-01-11,0,
LEAD-000032,ACC-01608,contato31@leão.com.br,organic_search,SES-00063510,google,organic,(none),/lp/demo-gratis,57,2023-01-11,0,
LEAD-000033,ACC-00059,contato32@barbosa-ei.net.br,meta_ads,SES-00003201,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,19,2023-01-11,0,
LEAD-000034,ACC-01537,contato33@barrosleãolt.com.br,webinar_evento,SES-00097398,webinar,evento,bf-23,/lp/demo-gratis,42,2023-01-11,0,
LEAD-000035,ACC-01192,contato34@oliveirapere.com.br,paid_search,SES-00123103,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,51,2023-01-11,0,
LEAD-000036,ACC-01166,contato35@casagrandes/.org.br,organic_search,SES-00024169,google,organic,(not set),/lp/demo-gratis,31,2023-01-11,0,
LEAD-000037,ACC-00711,contato36@santos.net.br,organic_search,SES-00041594,google,organic,(not set),/lp/demo-gratis,21,2023-01-12,0,
LEAD-000038,ACC-01876,contato37@dapaz.com.br,organic_search,SES-00141589,google,organic,(none),/lp/demo-gratis,52,2023-01-12,0,
LEAD-000039,ACC-00022,contato38@sás/a.com.br,meta_ads,SES-00025864,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,46,2023-01-12,0,
LEAD-000040,ACC-00143,contato39@campossilvei.com.br,organic_search,SES-00085991,google,organic,(none),/lp/demo-gratis,50,2023-01-12,0,
LEAD-000041,ACC-01584,contato40@martins.com.br,email_marketing,SES-00138308,email,email,campanha_email_01-2023,/webinar/integracao-erp-ao-vivo,52,2023-01-12,0,
LEAD-000042,ACC-00299,contato41@montenegroef.com.br,meta_ads,SES-00043457,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,31,2023-01-13,0,
LEAD-000043,ACC-01500,contato42@moreiras.a..org.br,linkedin_ads,SES-00146198,linkedin,paid_social,linkedin_gestores_2023,/lp/comparativo-erp,13,2023-01-13,0,
LEAD-000044,ACC-01860,contato43@dias.com.br,email_marketing,SES-00034833,email,email,campanha_email_01-2023,/webinar/integracao-erp-ao-vivo,47,2023-01-13,0,
LEAD-000045,ACC-01716,contato44@rocha.com.br,paid_search,SES-00081459,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,40,2023-01-13,0,
LEAD-000046,ACC-00698,contato45@cirino-ei.com.br,organic_search,SES-00069502,google,organic,(none),/lp/demo-gratis,43,2023-01-13,0,
LEAD-000047,ACC-00974,contato46@pastor.com.br,email_marketing,SES-00112145,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,43,2023-01-13,0,
LEAD-000048,ACC-01685,contato47@santospachec.net.br,paid_search,SES-00088208,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,35,2023-01-13,0,
LEAD-000049,ACC-01558,contato48@camargo.com.br,organic_search,SES-00064813,google,organic,(none),/lp/demo-gratis,20,2023-01-13,0,
LEAD-000050,ACC-00498,contato49@cunha-ei.com.br,meta_ads,SES-00102411,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,53,2023-01-14,0,
LEAD-000051,ACC-01415,contato50@mendonçasale.com.br,organic_search,SES-00002629,google,organic,(not set),/lp/demo-gratis,41,2023-01-14,0,
LEAD-000052,ACC-00719,contato51@viana.org.br,paid_search,SES-00063660,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,47,2023-01-15,0,
LEAD-000053,ACC-01570,contato52@rodrigues.com.br,paid_search,SES-00034413,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,38,2023-01-16,0,
LEAD-000054,ACC-00569,contato53@ferreiraltda.com.br,webinar_evento,SES-00096929,webinar,evento,campanha_natal_2023,/lp/demo-gratis,17,2023-01-16,0,
LEAD-000055,ACC-01506,contato54@novais.com.br,organic_search,SES-00108201,google,organic,(none),/lp/demo-gratis,26,2023-01-16,0,
LEAD-000056,ACC-00249,contato55@azevedocardo.com.br,organic_search,SES-00121050,google,organic,(none),/lp/demo-gratis,48,2023-01-16,0,
LEAD-000057,ACC-01021,contato56@pastorpeixot.com.br,linkedin_ads,SES-00063781,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,43,2023-01-16,0,
LEAD-000058,ACC-00015,contato57@nascimentosi.org.br,meta_ads,SES-00068342,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,55,2023-01-16,0,
LEAD-000059,ACC-00093,contato58@casagrandeal.com.br,meta_ads,SES-00125171,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,52,2023-01-16,0,
LEAD-000060,ACC-00314,contato59@daconceição.net.br,paid_search,SES-00005516,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,40,2023-01-16,0,
LEAD-000061,ACC-01723,contato60@nunes.com.br,paid_search,SES-00047944,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,41,2023-01-16,0,
LEAD-000062,ACC-01338,contato61@moraes.net.br,email_marketing,SES-00031360,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,21,2023-01-16,0,
LEAD-000063,ACC-01185,contato62@fernandes.org.br,organic_search,SES-00097137,google,organic,,/lp/demo-gratis,32,2023-01-16,0,
LEAD-000064,ACC-01701,contato63@vianacasagra.com.br,organic_search,SES-00134778,google,organic,(none),/lp/demo-gratis,23,2023-01-16,0,
LEAD-000065,ACC-01676,contato64@teixeiracarv.com.br,organic_search,SES-00032396,google,organic,(none),/lp/demo-gratis,45,2023-01-16,0,
LEAD-000066,ACC-00508,contato65@borges-me.com.br,email_marketing,SES-00126936,email,email,campanha_email_01-2023,/webinar/integracao-erp-ao-vivo,28,2023-01-16,0,
LEAD-000067,ACC-00491,contato66@darocha.net.br,organic_search,SES-00124140,google,organic,,/lp/demo-gratis,32,2023-01-16,0,
LEAD-000068,ACC-01105,contato67@novaispiment.com.br,paid_search,SES-00058722,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,41,2023-01-16,0,
LEAD-000069,ACC-00781,contato68@machadoltda..com.br,direct,SES-00127097,(direct),(none),,/lp/comparativo-erp,63,2023-01-16,0,
LEAD-000070,ACC-00986,contato69@aragãomoura-.org.br,paid_search,SES-00138367,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,40,2023-01-16,0,
LEAD-000071,ACC-01615,contato70@dapazsilveir.com.br,paid_search,SES-00099208,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,58,2023-01-16,0,
LEAD-000072,ACC-00514,contato71@costela-ei.com.br,meta_ads,SES-00032009,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,44,2023-01-16,0,
LEAD-000073,ACC-00345,contato72@damata.com.br,organic_search,SES-00043409,google,organic,(none),/lp/demo-gratis,30,2023-01-16,0,
LEAD-000074,ACC-01077,contato73@rocha.com.br,direct,SES-00008643,(direct),(none),,/lp/comparativo-erp,33,2023-01-16,0,
LEAD-000075,ACC-00922,contato74@fogaça.com.br,meta_ads,SES-00015753,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,37,2023-01-17,0,
LEAD-000076,ACC-00463,contato75@rezendeferre.net.br,linkedin_ads,SES-00138968,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,45,2023-01-17,0,
LEAD-000077,ACC-01519,contato76@melo.com.br,meta_ads,SES-00143570,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,51,2023-01-17,0,
LEAD-000078,ACC-01805,contato77@correia.com.br,linkedin_ads,SES-00110875,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,47,2023-01-17,0,
LEAD-000079,ACC-00962,contato78@costaefilhos.org.br,paid_search,SES-00140190,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,46,2023-01-17,0,
LEAD-000080,ACC-01213,contato79@costa.com.br,linkedin_ads,SES-00028324,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,40,2023-01-17,0,
LEAD-000081,ACC-01983,contato80@câmara.com.br,organic_search,SES-00033121,google,organic,(none),/lp/demo-gratis,50,2023-01-17,0,
LEAD-000082,ACC-01532,contato81@piresmacedoe.com.br,meta_ads,SES-00120292,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,28,2023-01-17,0,
LEAD-000083,ACC-01043,contato82@camposefilho.com.br,email_marketing,SES-00090575,email,email,campanha_email_01-2023,/webinar/integracao-erp-ao-vivo,18,2023-01-17,0,
LEAD-000084,ACC-00631,contato83@dasnevesefil.com.br,organic_search,SES-00021400,google,organic,(not set),/lp/demo-gratis,39,2023-01-17,0,
LEAD-000085,ACC-00910,contato84@rezende.com.br,webinar_evento,SES-00078326,webinar,evento,black_friday_2023,/lp/demo-gratis,26,2023-01-17,0,
LEAD-000086,ACC-01863,contato85@rodriguessam.com.br,linkedin_ads,SES-00103673,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,40,2023-01-17,0,
LEAD-000087,ACC-00719,contato86@viana.org.br,organic_search,SES-00074086,google,organic,(none),/lp/demo-gratis,46,2023-01-17,0,
LEAD-000088,ACC-01141,contato87@azevedocaval.com.br,organic_search,SES-00148280,google,organic,(not set),/lp/demo-gratis,48,2023-01-17,0,
LEAD-000089,ACC-00225,contato88@porto.com.br,direct,SES-00060346,(direct),(none),,/lp/comparativo-erp,27,2023-01-17,0,
LEAD-000090,ACC-00077,contato89@vargasltda..org.br,paid_search,SES-00073353,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,45,2023-01-17,0,
LEAD-000091,ACC-01888,contato90@dacunhadacru.com.br,organic_search,SES-00054982,google,organic,(none),/lp/demo-gratis,41,2023-01-17,0,
LEAD-000092,ACC-00176,contato91@moraes.net.br,paid_search,SES-00110162,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,53,2023-01-17,0,
LEAD-000093,ACC-00041,contato92@britobritoef.com.br,webinar_evento,SES-00149492,webinar,evento,campanha-natal-2023,/lp/demo-gratis,51,2023-01-17,0,
LEAD-000094,ACC-01992,contato93@rochapereira.com.br,organic_search,SES-00080648,google,organic,(not set),/lp/demo-gratis,45,2023-01-17,0,
LEAD-000095,ACC-01790,contato94@andrade.com.br,organic_search,SES-00042334,google,organic,(none),/lp/demo-gratis,55,2023-01-17,0,
LEAD-000096,ACC-01228,contato95@duarte.com.br,direct,SES-00131947,(direct),(none),(direct),/lp/comparativo-erp,38,2023-01-17,0,
LEAD-000097,ACC-00674,contato96@damotadamota.org.br,organic_search,SES-00136927,google,organic,(not set),/lp/demo-gratis,56,2023-01-17,0,
LEAD-000098,ACC-01939,contato97@monteirodaro.net.br,webinar_evento,SES-00005579,webinar,evento,campanha_natal_2023,/lp/demo-gratis,24,2023-01-17,0,
LEAD-000099,ACC-01599,contato98@darosa.com.br,paid_search,SES-00019510,google,cpc,google_branded_2023,/lp/roi-calculator,32,2023-01-17,0,
LEAD-000100,ACC-00475,contato99@ramos.com.br,organic_search,SES-00006478,google,organic,(not set),/lp/demo-gratis,39,2023-01-17,0,
LEAD-000101,ACC-00238,contato100@azevedoteixe.com.br,organic_search,SES-00013622,google,organic,(not set),/lp/demo-gratis,34,2023-01-17,0,
LEAD-000102,ACC-01974,contato101@novaesltda..net.br,paid_search,SES-00122677,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,35,2023-01-17,0,
LEAD-000103,ACC-00938,contato102@viana-ei.org.br,paid_search,SES-00129203,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,15,2023-01-18,0,
LEAD-000104,ACC-00537,contato103@farias.com.br,meta_ads,SES-00000024,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,44,2023-01-18,0,
LEAD-000105,ACC-00279,contato104@lopess/a.net.br,direct,SES-00105770,(direct),(none),(not set),/lp/comparativo-erp,42,2023-01-18,0,
LEAD-000106,ACC-00542,contato105@nuness.a..com.br,organic_search,SES-00076576,google,organic,(not set),/lp/demo-gratis,26,2023-01-18,0,
LEAD-000107,ACC-01501,contato106@dacostacassi.org.br,organic_search,SES-00109670,google,organic,,/lp/demo-gratis,59,2023-01-18,0,
LEAD-000108,ACC-01559,contato107@monteirodamo.net.br,paid_search,SES-00048906,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,29,2023-01-18,0,
LEAD-000109,ACC-00532,contato108@damatadarosa.net.br,meta_ads,SES-00044158,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,31,2023-01-18,0,
LEAD-000110,ACC-00599,contato109@dapaz.net.br,organic_search,SES-00078441,google,organic,,/lp/demo-gratis,27,2023-01-18,0,
LEAD-000111,ACC-01920,contato110@cardoso-me.com.br,webinar_evento,SES-00134050,webinar,evento,campanha_natal_2023,/lp/demo-gratis,36,2023-01-18,0,
LEAD-000112,ACC-01456,contato111@fonsecas.a..com.br,organic_search,SES-00035018,google,organic,(not set),/lp/demo-gratis,17,2023-01-18,0,
LEAD-000113,ACC-01244,contato112@casagrandeef.com.br,linkedin_ads,SES-00061290,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,38,2023-01-18,0,
LEAD-000114,ACC-01363,contato113@sampaio.com.br,linkedin_ads,SES-00097168,linkedin,paid_social,linkedin_prospeccao_q1_2023,/lp/comparativo-erp,44,2023-01-18,0,
LEAD-000115,ACC-01281,contato114@brito.org.br,direct,SES-00030740,(direct),(none),(direct),/lp/comparativo-erp,34,2023-01-18,0,
LEAD-000116,ACC-01584,contato115@martins.com.br,paid_search,SES-00106480,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,54,2023-01-18,0,
LEAD-000117,ACC-00400,contato116@teixeira.com.br,organic_search,SES-00063394,google,organic,(not set),/lp/demo-gratis,56,2023-01-18,0,
LEAD-000118,ACC-00325,contato117@carvalhoandr.net.br,organic_search,SES-00085778,google,organic,(not set),/lp/demo-gratis,54,2023-01-18,0,
LEAD-000119,ACC-00738,contato118@andrade.com.br,paid_search,SES-00043066,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,51,2023-01-18,0,
LEAD-000120,ACC-01212,contato119@pimenta.com.br,linkedin_ads,SES-00069715,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,26,2023-01-18,0,
LEAD-000121,ACC-01579,contato120@sousa.com.br,email_marketing,SES-00032148,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,35,2023-01-18,0,
LEAD-000122,ACC-00571,contato121@campos.com.br,paid_search,SES-00107884,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,25,2023-01-18,0,
LEAD-000123,ACC-00854,contato122@pimentaefilh.net.br,paid_search,SES-00011355,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,44,2023-01-18,0,
LEAD-000124,ACC-00543,contato123@siqueira-me.org.br,meta_ads,SES-00123674,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,28,2023-01-18,0,
LEAD-000125,ACC-00996,contato124@novaislopes-.net.br,meta_ads,SES-00044706,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,23,2023-01-19,0,
LEAD-000126,ACC-00601,contato125@almeida.com.br,paid_search,SES-00095545,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,34,2023-01-19,0,
LEAD-000127,ACC-01290,contato126@araújo.com.br,email_marketing,SES-00121707,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,31,2023-01-19,0,
LEAD-000128,ACC-00997,contato127@albuquerque.net.br,paid_search,SES-00011660,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,23,2023-01-19,0,
LEAD-000129,ACC-00776,contato128@melos.a..com.br,linkedin_ads,SES-00024127,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,50,2023-01-19,0,
LEAD-000130,ACC-00039,contato129@damotarios-m.com.br,organic_search,SES-00015322,google,organic,(none),/lp/demo-gratis,23,2023-01-19,0,
LEAD-000131,ACC-00340,contato130@pires.com.br,webinar_evento,SES-00040242,webinar,evento,campanha-natal-2023,/lp/demo-gratis,49,2023-01-19,0,
LEAD-000132,ACC-00286,contato131@vasconcelos.com.br,organic_search,SES-00119102,google,organic,,/lp/demo-gratis,33,2023-01-19,0,
LEAD-000133,ACC-00587,contato132@vianacostela.com.br,organic_search,SES-00104822,google,organic,,/lp/demo-gratis,36,2023-01-19,0,
LEAD-000134,ACC-00648,contato133@sousa.com.br,webinar_evento,SES-00058360,webinar,evento,campanha_natal_2023,/lp/demo-gratis,48,2023-01-19,0,
LEAD-000135,ACC-00185,contato134@marquesnovae.com.br,organic_search,SES-00097313,google,organic,(none),/lp/demo-gratis,39,2023-01-19,0,
LEAD-000136,ACC-00353,contato135@aparecida.net.br,paid_search,SES-00109009,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,31,2023-01-19,0,
LEAD-000137,ACC-01998,contato136@novaes.com.br,meta_ads,SES-00045939,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,27,2023-01-19,0,
LEAD-000138,ACC-00215,contato137@pintodacunha.com.br,organic_search,SES-00124521,google,organic,(not set),/lp/demo-gratis,48,2023-01-19,0,
LEAD-000139,ACC-00518,contato138@lopess.a..com.br,paid_search,SES-00129555,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,40,2023-01-19,0,
LEAD-000140,ACC-00786,contato139@almeidarocha.com.br,direct,SES-00075003,(direct),(none),(direct),/lp/comparativo-erp,26,2023-01-19,0,
LEAD-000141,ACC-01761,contato140@costela.com.br,organic_search,SES-00127659,google,organic,(none),/lp/demo-gratis,44,2023-01-19,0,
LEAD-000142,ACC-01131,contato141@diasazevedo-.net.br,organic_search,SES-00140971,google,organic,,/lp/demo-gratis,26,2023-01-19,0,
LEAD-000143,ACC-01230,contato142@duarte.com.br,paid_search,SES-00038227,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,50,2023-01-19,0,
LEAD-000144,ACC-00493,contato143@dacunha.com.br,meta_ads,SES-00145126,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,46,2023-01-19,0,
LEAD-000145,ACC-00338,contato144@carvalho.com.br,linkedin_ads,SES-00093959,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,12,2023-01-19,0,
LEAD-000146,ACC-00836,contato145@correiacampo.com.br,organic_search,SES-00105969,google,organic,(not set),/lp/demo-gratis,43,2023-01-20,0,
LEAD-000147,ACC-01204,contato146@damota.com.br,meta_ads,SES-00020196,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,14,2023-01-20,0,
LEAD-000148,ACC-00397,contato147@caldeira-me.com.br,paid_search,SES-00061125,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,54,2023-01-20,0,
LEAD-000149,ACC-00304,contato148@silveira.com.br,linkedin_ads,SES-00034699,linkedin,paid_social,linkedin_decisores_ti_2023,/lp/comparativo-erp,20,2023-01-20,0,
LEAD-000150,ACC-01539,contato149@sampaio.com.br,webinar_evento,SES-00075590,webinar,evento,webinar_integracao_erp_2023,/lp/demo-gratis,36,2023-01-20,0,
LEAD-000151,ACC-00625,contato150@araújo-me.net.br,organic_search,SES-00031860,google,organic,,/lp/demo-gratis,28,2023-01-20,0,
LEAD-000152,ACC-01930,contato151@camargos/a.com.br,organic_search,SES-00123190,google,organic,(none),/lp/demo-gratis,36,2023-01-20,0,
LEAD-000153,ACC-00526,contato152@caldeira.net.br,direct,SES-00098460,(direct),(none),(direct),/lp/comparativo-erp,39,2023-01-20,0,
LEAD-000154,ACC-01786,contato153@monteiro.net.br,organic_search,SES-00000508,google,organic,(none),/lp/demo-gratis,38,2023-01-20,0,
LEAD-000155,ACC-00407,contato154@montenegro.org.br,paid_search,SES-00055898,google,cpc,google_branded_2023,/lp/roi-calculator,26,2023-01-20,0,
LEAD-000156,ACC-00233,contato155@salesltda..com.br,organic_search,SES-00135990,google,organic,,/lp/demo-gratis,21,2023-01-20,0,
LEAD-000157,ACC-01429,contato156@leão-me.org.br,organic_search,SES-00078816,google,organic,(not set),/lp/demo-gratis,25,2023-01-20,0,
LEAD-000158,ACC-01521,contato157@ramos-ei.com.br,paid_search,SES-00080284,google,cpc,google_branded_2023,/lp/roi-calculator,54,2023-01-20,0,
LEAD-000159,ACC-01495,contato158@montenegro.net.br,linkedin_ads,SES-00037945,linkedin,paid_social,linkedin_decisores_ti_2023,/lp/comparativo-erp,23,2023-01-21,0,
LEAD-000160,ACC-00919,contato159@sousa.com.br,organic_search,SES-00120313,google,organic,,/lp/demo-gratis,38,2023-01-21,0,
LEAD-000161,ACC-01226,contato160@nogueira.com.br,webinar_evento,SES-00040995,webinar,evento,black_friday_2023,/lp/demo-gratis,31,2023-01-21,0,
LEAD-000162,ACC-01756,contato161@peixoto.com.br,direct,SES-00118190,(direct),(none),(direct),/lp/comparativo-erp,20,2023-01-22,0,
LEAD-000163,ACC-01954,contato162@camposs.a..net.br,organic_search,SES-00091940,google,organic,(none),/lp/demo-gratis,24,2023-01-23,0,
LEAD-000164,ACC-00511,contato163@mouras/a.org.br,organic_search,SES-00047154,google,organic,,/lp/demo-gratis,25,2023-01-23,0,
LEAD-000165,ACC-00789,contato164@marques.net.br,webinar_evento,SES-00008784,webinar,evento,black_friday_2023,/lp/demo-gratis,22,2023-01-23,0,
LEAD-000166,ACC-01058,contato165@nogueiraferr.com.br,organic_search,SES-00112846,google,organic,,/lp/demo-gratis,34,2023-01-23,0,
LEAD-000167,ACC-00312,contato166@cirinosales-.com.br,direct,SES-00019372,(direct),(none),(not set),/lp/comparativo-erp,22,2023-01-23,0,
LEAD-000168,ACC-01462,contato167@daconceição.net.br,linkedin_ads,SES-00103708,linkedin,paid_social,linkedin_prospeccao_q1_2023,/lp/comparativo-erp,42,2023-01-23,0,
LEAD-000169,ACC-01519,contato168@melo.com.br,organic_search,SES-00013072,google,organic,(not set),/lp/demo-gratis,38,2023-01-23,0,
LEAD-000170,ACC-00014,contato169@riosdamataef.com.br,organic_search,SES-00057839,google,organic,,/lp/demo-gratis,47,2023-01-23,0,
LEAD-000171,ACC-01617,contato170@cardoso.com.br,meta_ads,SES-00113377,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,21,2023-01-23,0,
LEAD-000172,ACC-00101,contato171@machado.net.br,webinar_evento,SES-00105861,webinar,evento,campanha-natal-2023,/lp/demo-gratis,18,2023-01-23,0,
LEAD-000173,ACC-00382,contato172@rezende.com.br,webinar_evento,SES-00021769,webinar,evento,webinar_integracao_erp_2023,/lp/demo-gratis,45,2023-01-23,0,
LEAD-000174,ACC-00122,contato173@vargas.com.br,email_marketing,SES-00042273,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,12,2023-01-23,0,
